Sample	PC1	PC2	PC3	Coverage	Age	Latitude	Longitude	Sex	Site	Species
ROxCASx12_Rom_m3795	0.0109239	-0.0240441	0.00209567	2.430701331	3845	44.13	26.47	male	site92	horse
ROxNPCx06_Rom_m34801	-0.0277122	-0.0175113	0.00585933	1.986845974	34851	45.81	22.81	male	site93	horse
Rus2017x2_Rus_m51700i	-0.0650655	-0.00735186	0.050875	2.542179201	51750	70.72	135.41	male	site94	horse
Rus2017x3_Rus_m51700i	-0.120244	0.0242074	0.152052	2.080802531	51750	70.72	135.41	male	site94	horse
Rus2017x5_Rus_m51700i	-0.123611	0.0253867	0.158518	2.305490477	51750	70.72	135.41	female	site94	horse
Rus2017x6_Rus_m28567	-0.118608	0.0259915	0.154179	2.659193936	28617	70.72	135.41	female	site94	horse
RusxNx01_Rus_m1862	0.0528965	-0.00406558	0.00967425	7.071417762	1912	53.66	50.67	male	site21	horse
RusxNx02_Rus_m1825	0.0508731	-0.00529045	0.00967727	1.382487649	1875	52.92	50.96	male	site95	horse
RusxNx03_Rus_m1851	0.0520542	-0.00465619	0.00981383	0.856849599	1901	52.92	50.96	female	site95	horse
RusxNx04_Rus_m1789	0.0516269	-0.00568584	0.00979095	1.365886145	1839	52.92	50.96	male	site95	horse
RusxNx09_Rus_m1851	0.0541367	-0.00338171	0.0114601	2.487026016	1901	53.12	48.35	female	site96	horse
RusxNx109_Rus_m13477	-0.0603029	0.00863948	0.043975	2.484605858	13527	57.45	61.45	female	site97	horse
RusxNx111_Rus_m22013	-0.0501524	0.00242315	0.0358717	1.596757249	22063	57.45	61.45	female	site97	horse
RusxNx112_Rus_m14727	-0.054553	0.00663116	0.0400801	1.158534507	14777	57.45	61.45	female	site97	horse
RusxNx113_Rus_m13978	-0.0562612	0.0077272	0.041034	1.1012636	14028	57.45	61.45	female	site97	horse
RusxNx114_Rus_m15249	-0.054838	0.00538696	0.0414242	1.212617545	15299	57.45	61.45	male	site97	horse
RusxNx115_Rus_m14736	-0.0471456	0.000955077	0.0308003	1.547888577	14786	57.45	61.45	male	site97	horse
RusxNx120_Rus_m30192	-0.0440252	-0.00112691	0.0268271	1.211414636	30242	58.88	57.63	male	site98	horse
RusxNx121_Rus_m21420	-0.0460058	-0.00118644	0.0280893	2.344024668	21470	58.88	57.63	female	site98	horse
RusxNx128_Rus_m43000	-0.0448572	9.16E-05	0.0282927	0.099605873	43050	55.47	59.45	female	site99	horse
RusxNx129_Rus_m36541	-0.0481413	0.000427761	0.0290482	1.346506944	36591	55.47	59.45	female	site99	horse
RusxNx130_Rus_m21145	-0.0524169	0.0016204	0.0343097	3.263547942	21195	55.47	59.45	female	site99	horse
RusxNx131_Rus_m17769	-0.0491904	0.000505106	0.0305714	2.486577233	17819	54.83	57.88	male	site100	horse
RusxNx53_Rus_m2785	0.0164513	0.0197339	-0.00472762	21.47443429	2835	52.8	53.79	female	site51	horse
RusxNx58_Rus_m2758	0.0166159	0.0152995	-0.00541644	2.637521599	2808	52.8	53.79	female	site51	horse
RusxNx96_Rus_m4586	0.00933212	0.00803141	-0.00334592	1.54306225	4636	50.16	48.53	female	site101	horse
SAGxS27_Ira_m1102	0.051331	-0.00624926	0.00809869	1.870811952	1152	35.77	49.94	male	site102	horse
